,ques,answer
287,how does income tax department ensure that pan is quoted on transactions in which quoting of pan is mandatory?,"It is statutory responsibility of a person receiving document relating to economic or financial transactions notified by the Central Board of Direct Taxes (CBDT) to ensure that PAN has been duly quoted in the documents in which quoting of PAN is mandatory. Thus, the receiver of these documents will ensure that PAN is quoted in the respective document. E.g. PAN is necessary to open a bank account and hence the Bank will ensure that the applicant has quoted his PAN at the time of applying for bank account."
288,i am audited under section 44ab. is it mandatory for me to file rectification using digital signature certificate?,Yes.
289,what is the procedure adopted for making the assessment under section 143(1)?,"Assessment undersection 143(1)is like preliminary checking of the return of income. At this stage, the total income or loss is computed after making the preliminary adjustments (as discussed in previous FAQ). The other procedures in this regard are as follows:After making the adjustments (if any) as discussed in previous FAQ, the tax and interest, if any, shall be computed on the basis of the adjusted income.Any sum payable by the taxpayer or refund due to the taxpayer shall be intimated to him.An intimation shall be prepared or generated and sent to the taxpayer specifying the sum determined to be payable by, or the amount of refund due to him.An intimation shall also be sent to the taxpayer, in a case, where the loss declared in the return of income by the taxpayer is adjusted but no tax or interest is payable by, or no refund is due to him.No intimation will be sent to the taxpayer in a case where no sum is payable or refundable or no adjustment is made to the returned income. In such a case, the acknowledgement of the return of income shall be deemed to be the intimation."
290,what is the utility of pan?,"PAN enables the department to link all transactions of the assessee with the department. These transactions include tax payments, TDS/TCS credits, returns of income, specified transactions, correspondence and so on. It facilitates easy retrieval of information of assessee and matching of various investments, borrowings and other business activities of assessee."
291,what are allowances? are all allowances taxable?,"Allowances are fixed periodic amounts, apart from salary, which are paid by an employer for the purpose of meeting some particular requirements of the employee.  E.g., Tiffin allowance, transport allowance, uniform allowance, etc.There are generally three types of allowances for the purpose of Income-tax Act - taxable allowances, fully exempted allowances and partially exempted allowances."
292,can i file my return of income without quoting pan?,"It is mandatory to quote PAN on the return of income. Apart from return of income, PAN is also to be quoted in all challans for making payment of tax, correspondence with the Income Tax Department, etc."
293,how to determine the residential status of a huf for the purpose of the income-tax law?,"To determine the residential status of a HUF, the first step is to ascertain whether the HUF is resident or a non-resident. If the HUF turns to be a resident, then the next step is to ascertain whether it is resident and ordinarily resident or is resident but not ordinarily resident.Step 1 given below will ascertain whether the HUF is resident or non-resident and step 2 will ascertain whether the HUF is ordinarily resident or not ordinarily resident. Step 2 is to be performed only if the HUF turns to be a resident.Step 1: Determining whether resident or non-residentFor the purpose of Income-tax Law, a HUF will be treated as resident in India, if the control and management of the affairs of the HUF is located (partly or wholly) in India.Step 2: Determining whether resident and ordinarily resident or resident but not ordinarily residentA resident HUF will be treated as resident and ordinarily resident in India during the year if its manager (i.e.karta or manager) satisfies both the following conditions :(1) He is resident in India for at least 2 years out of 10 years immediately preceding the relevant year.(2) His stay in India is for 730 days or more during 7 years immediately preceding the relevant year.A resident HUF whose manager (i.e.karta or manager) does not satisfy any of the aforesaid conditions or satisfies only one of the aforesaid conditions will be treated as resident but not ordinarily resident.In short, following test will determine the residential status of a HUF :If the control and management of the affairs of the HUF is located (partly or wholly) in India and the manager (i.e.karta or manager) satisfies both the conditions specified at step 2, then the HUF will become resident and ordinarily resident in India.If the control and management of the affairs of the HUF is located (partly or wholly) in India and the manager (i.e.karta or manager) satisfies none or only one condition specified at step 2, then the HUF will become resident but not ordinarily resident in India.If the control and management of the affairs of the HUF is located wholly outside India, then the HUF will become non-resident."
294,"if a person adopts the presumptive taxation scheme of section 44ae, then is he liable to pay advance tax in respect of income from business covered under section 44ae?","There is no concession as regards payment of advance tax in case of a person who is adopting the presumptive taxation scheme ofsection 44AEand, hence, he will be liable to pay advance tax even if he adopts the presumptive taxation scheme ofsection 44AE."
295,what if i submit incomplete pan application i.e. form 49a/49aa?,"IT PAN Service Centers or TIN Facilitation Centers shall not receive any incomplete and deficient PAN application. However, these centers will assist applicants to correctly fill up form 49A/49AA (as the case may be)."
296,do i need to insist on some proof of payment from the banker to whom i have submitted the challan?,"The filled-up taxpayers counterfoil will be stamped and returned to you by the bank. Please ensure that the banks stamp contains BSR Code [Bankers Serial Number Code], Challan Identification Number [CIN], and the date of payment. In case of e-payment a computer generated copy will be issued."
297,what is statement of financial transaction or reportable account (previously called as 'annual information return (air)'?,"As persection 285BAof the Income-tax Act, 1961 (as substituted by Finance Act, 2014 w.e.f. 01-04-2015), specified entities (Filers) are required to furnish a statement of financial transaction or reportable account (hereinafter referred to as 'statement') in respect of specified financial transactions or any reportable account registered/recorded/maintained by them during the financial year to the income-tax authority or such other prescribed authority."
298,are there any cases in which immovable property received by an individual or huf for less than its stamp duty value is not charged to tax?,"If the conditions given in preceding FAQ are satisfied, then immovable property received (i.e.acquired) by an individual or HUF for less than its stamp duty value is charged to tax. However, in the following cases nothing will be charged to tax in respect of immovable property received for less than its stamp duty value :Property received from relatives (*).Property received by a HUF from its members.Property received on the occasion of the marriage of the individual.Property received under will/ by way of inheritance.Property received in contemplation of death of the donor.Property received from a local authority as defined undersection 10(20)of the Income-tax Act).Property received from any fund, foundation, university, other educational institution, hospital or other medical institution, any trust or institution referred to insection 10(23C).Property received from a trust or institution registered undersection 12AA.(*)Relative for this purpose means:(a) Spouse of the individual;(b) Brother or sister of the individual;(c) Brother or sister of the spouse of the individual;(d) Brother or sister of either of the parents of the individual;(e) Any lineal ascendant or descendent of the individual;(f) Any lineal ascendant or descendent of the spouse of the individual;(g)Spouse of the persons referred to in (b) to (f)."
299,it is not clear what class of dsc should be used while filing the return ?,"DSC should be of Class II or III only, issued by CCA approved certifying agencies in India."
300,when do i have to pay the taxes on my income?,"Generally, the tax on income crystallizes only on completion of the previous year. However, for ease of collection and regularity of flow of funds to the Government for its various activities, the Income-tax Act has laid down the provisions for payment of taxes in advance during the year of earning itself. It is called as pay as you earn concept. Taxes may also be collected on your behalf during the previous year itself through TDS and TCS mode. If at the time of filing of return you find that you have some balance tax to be paid after taking into account the credit of your advance tax, TDS & TCS, the shortfall is to be deposited as Self Assessment Tax."
301,what are the other provisions under the income-tax act which are applicable to a non-resident?,Refer chart and Table on Non-Resident Benefit Allowable.
302,can branches of companies/banks have separate tans?,"Yes. In such a case, the name and location of branch or the designation of the person responsible for deducting/collecting tax, whichever is applicable, should be clearly given in the application for allotment of TAN"
303,by mistake i have been using different pans for different purposes like one for my demat account and another for filing my income-tax return and payment of taxes. how do i set this right?,"It is advisable to retain only one PAN, preferably the one used for Income-tax purpose and surrender the other number immediately. The institutions where the latter number has been quoted should be informed of the correct PAN."
304,my income from let out house property is negative. can i ask my employer to consider this loss against my salary income while computing the tds on my salary?,"Yes, however, losses other than losses under the head Income from house property cannot be set-off while determining the TDS from salary."
305,what is income-tax?,"It is a tax levied by the Government of India on the income of every person. The provisions governing the Income-tax Law are given in the Income-tax Act, 1961."
306,can i claim deduction for my personal and household expenditure while calculating my taxable income or profit?,"No, you cannot claim deduction of personal expenses while computing the taxable income.While computing income under various heads, deduction can be claimed only for those expenses which are provided under the Income-tax Act."
307,how can i know that the government has received the amount deposited by me as taxes in the bank?,The NSDL website [http://www.tin-nsdl.com] provides online services called as Challan Status Enquiry. You can also check your tax credit by viewing your Form 26AS from your e-filing account atwww.incometaxindiaefiling.gov.inForm 26AS will also disclose the credit of TDS/TCS in your account.
308,what is the meaning of clubbing of income?,"Normally, a person is taxed in respect of income earned by him only. However, in certain special cases income of other person is included (i.e. clubbed) in the taxable income of the  taxpayer and in such a case he will be liable to pay tax in respect of his income (if any) as well as income of other person too. The situation in which income of other person is included in the income of the taxpayer is called as clubbing of income. E.g., Income of minor child is clubbed with the income of his/her parent.Section 60to64 give various provisions relating to clubbing of income."
309,will a person holding indian citizenship be treated as a resident in india for the purpose of charging income-tax?,"The Income-tax Law has its own set of provisions for determining the residential status of a person. Thus, while determining the residential status of a person under the Income-tax Law, the facts like Indian citizenship, Indian passport, etc., have no relevance.  From the point of view of Income-tax Law, a person will be treated as a resident in India if he satisfies the criteria specified in this regard under the Income-tax Act."
310,for whom the presumptive taxation scheme of section 44ae is designed?,"The scheme ofsections 44AE is designed to give relief to small taxpayers engaged in the business of plying, hiring or leasing goods carriages."
311,i have forgotten my password. what is to be done to retrieve it?,"Click on the ""Forgot password"" link on the homepage of ITD e-filing website. In the 'Forgot Password' page, enter your User ID and Captcha Code, and click 'Continue'. Select one of the below options on the next page:1) Answer Secret Question- Enter your Date of Birth/Incorporation and answer the secret question, OR2) Upload the Digital Signature Certificate (DSC) which is registered on e-Filing application.Click Submit. On successful submission of request, a new system generated Password is sent to your registered e-mail ID. LOGIN to e-Filing web-site using the system generated Password. On first LOGIN using this password, you are prompted to change the Password. Enter a New Password according to the format prescribed and SUBMIT. Please note that your password cannot be the same as your three previous passwords."
312,what is the time limit for making the assessment under section 143(3) i.e. scrutiny assessment?,"As persection 153, assessment undersection 143(3)shall be made within a period of 21 months from end of the assessment year in which income was first assessable. [Inserted by the Finance Act, 2016 w.e.f. 1-6-2016]Note: If reference is made to TPO, the period available for assessment shall be extended by 12 months"
313,what is gross total income?,Total income of a taxpayer from all the heads of income (as discussed in previous FAQ) is referred to as Gross Total Income.
314,"the demand raised by cpc has been paid off by me, do i have to file rectification to get this demand reduced?","No, the demand will automatically get reduced by the payments made therein (minor code 400)."
315,"if i have committed any mistake in my original return, am i permitted to file a revised return to correct the mistake?","Yes* Return can be revised within a period of one year from the end of the relevant assessment year or before completion of the assessment whichever is earlier.E.g.,E.g., In case of income earned during FY 2015-16, the due date of filing the return of income (considering no audit) is 31st July, 2016. If the return of income is filed on or before 31st July, 2016 then the return can be revised upto 31st March, 2018 (assuming assessment is not completed by that date)."
316,is a very senior citizen granted exemption from e-filing of income tax return?,"From the assessment year 2015-16 onwards any taxpayer filing return of income in Form ITR 1/2/2A and having a refund claim in the return or having total income of more than Rs. 5,00,000 is required to furnish the return of income electronically with or without digital signature or by using electronic verification code. However, Income-tax Law grants relaxation from e-filing in above case to very senior citizen.In other words, a very senior citizen filing his return of income in Form ITR 1/2/2A and having total income of more than Rs. 5,00,000 or having a refund claim can file his return of income in paper mode, i.e., for him e filing of ITR 1/2/2A (as the case may be) is not mandatory. However, he may go for e-filing if he wishes."
317,who is eligible to take advantage of the presumptive taxation scheme of section 44ae and which business is eligible for the presumptive taxation scheme of section 44ae?,"The provisions ofsections 44AEare applicable to every person (i.e., an individual, HUF, firm, company, etc.).The presumptive taxation scheme ofsections 44AE can be adopted by a person who is engaged in the business of plying, hiring or leasinggoods carriages and who does not own more than 10 goods vehicles at any time during the year."
318,what is pre-construction period?,"While computing income chargeable to tax under the head ""Income from house property"" in case of a let-out property, the taxpayer can claim deduction undersection 24(b)on account of interest on loan taken for the purpose of purchase, construction, repair, renewal or reconstruction of the property.Deduction on account of interest is classified in two forms,viz.,interest pertaining to pre-construction period and interest pertaining to post-construction period.Post-construction period interest is the interest pertaining to the relevant year (i.e.,the year for which income is being computed).Pre-construction period is the period commencing from the date of borrowing of loan and ends on earlier of the following:   Date of repayment of loan; or  31st March immediately prior to the date of completion of the construction/acquisition of the property.Interest pertaining to pre-construction period is allowed as deduction in five equal annual instalments, commencing from the year in which the house property is acquired or constructed.Thus, total deduction available to the taxpayer undersection 24(b) on account of interest will be 1/5th of interest pertaining to pre-construction period (if any) + Interest pertaining to post construction period (if any)."
319,most of my income is given away in charity and i am left with just enough money to meet my personal requirements. what will be considered as my income?,"What is done after the income is earned by you will not give you tax exemption. However, contribution to approved institutions will give you the benefit of deduction from taxable income undersection 80G subject to limits specified therein."
320,i already have a digital signature certificate? do i need a separate digital signature certificate for e-filing?,A person who already has the specified class II or III DSC for any other application can use the same for filing the Income Tax Return and is not required to obtain a fresh PAN embedded DSC. Fresh PAN embedded DSC is required in cases where the existing DSC has expired OR revoked.
321,how to apply for tan?,"There are two modes for applying for TAN: (1) Online mode and (ii) Offline mode, they are as follows:OFFLINEAn application for allotment of TAN is to be filed in Form 49B in duplicate and submitted to any TIN Facilitation Centres (TIN-FC). Addresses of TIN-FCs are available at NSDL-TIN website (https://www.tin-nsdl.com).In case of an applicant, being a company which has not been registered under the Companies Act, 2013, the application for allotment of Tax Deduction Account Number may be made in Form No. INC-7 specified under sub-section (1) of section 7 of the said Act for incorporation of the company.ONLINEOnline application for TAN can be made from the NSDL-TIN website.Addresses of the TIN FC are available at www.incometaxindia.gov.in or https://www.tin-nsdl.com."
322,can a person hold more than one pan?,"A person cannot hold more than one PAN. If a PAN is allotted to a person, then he cannot apply for obtaining another PAN. A penalty of Rs. 10,000/- is liable to be imposed underSection 272B of the Income-tax Act, 1961 for having more than one PAN.If a person has been allotted more than one PAN then he should immediately surrender the additional PAN card(s)."
323,"while computing income chargeable to tax under the head income from house property in the case of a let-out property, how much interest on housing loan can be claimed as deduction?","While computing income chargeable to tax under the head ""Income from house property"" in case of a let-out property, the taxpayer can claim deduction undersection 24(b)on account of interest on loan taken for the purpose of purchase, construction, repair, renewal or reconstruction of the property.In case of a let-out property, there is no limit on the quantum of interest which can be claimed as deduction undersection 24(b). However, in case of a self occupied property, limit is Rs. 2,00,000 or Rs. 30,000, as the case may be (discussed in later FAQ)."
324,what should i do when the authorized signatory (principal contact) assigned in e-filing application has changed?,"You can assign the new authorized signatory (Principal contact) in e-Filing application. LOGIN and GO TO 'Profile Settings''Update Principal Contact details', and update the PAN and Contact details of the new principal contact. On submission, the details are updated. To update the DSC of the new principal contact, GO TO 'Profile Settings''Register Digital Signature Certificate'."
325,who can not use itr-2a?,"Return Form - ITR 2A cannot be used by an individual or a Hindu Undivided Family whose total income for the assessment year 2016-17 includes,- (a) Income from Capital Gains; or (b) Income from Business or Profession; or (c) Any claim of relief/deduction undersection 90,90A or91; or (d) Any resident having any asset (including financial interest in any entity) located outside India or signing authority in any account located outside India; or (e) Any resident having income from any source outside India."
326,"in case of change in the constitution of business, can the loss be carried forward by the reconstituted entity?","Generally, the person incurring the loss is only entitled to carry forward the loss to be adjusted in subsequent year(s). However, in certain cases of reconstitution of the business like amalgamation, demerger, conversion of proprietary firm into company or conversion of partnership firm into company, etc., the reconstituted entity is entitled to carry forward the unadjusted loss of predecessor entity (provided that conditions specified in this regard are satisfied)."
327,"are all receipts, i.e., capital and revenue receipts, charged to tax?","The general rule under the Income-tax Law is that all revenue receipts are taxable, unless they are specifically granted exemption from tax and all capital receipts are exempt from tax, unless there is a specific provision for taxing them."
328,who cannot use itr  5?,"Form ITR  5 cannot be used by, a person who is required to file the return of income undersection 139(4A)or139(4B)or139(4C)or139(4D)orsection 139(4E)orsection 139(4F)(i.e., trusts, political party, institutions, colleges, investment fund, etc.)."
329,i want to file a rectification for correcting data for tax credit mismatch only. do i need to upload an xml (generated from the excel return preparing software utility)?,"No. Select the user type as 'Taxpayer Correcting Data for Tax Credit mismatch only' and then provide TCS, TDS or IT (Advance Tax/Self Assessment Tax) details. Submit the request. No XML upload/submission is required."
330,"while trying to e-file income tax return using digital signature certificate, the 'select your .pfx file' or 'select with your usb token' buttons are not displayed or are not clickable.","This occurs due to the following reasons:1. Check if Java Runtime Environment 1.6 or above is installed in your PC. If it is not installed, click here to download.2. If Java Runtime Environment 1.6 or above is installed in your PC and still you are unable to register DSC to e-Filing application, this is because the Java is disabled. GO TO Internet Options Advanced Settings. Enable the check-box for 'Java'."
331,what are the duties of the person deducting tax at source?,"Following are the basic duties of the person who is liable to deduct tax at source. He shall obtain Tax Deduction Account Number and quote the same in all the documents pertaining to TDS.He shall deduct the tax at source at the applicable rate.He shall pay the tax deducted by him at source to the credit of the Government (by the due date specified in this regard*).He shall file the periodic TDS statements, i.e., TDS return (by the due date specified in this regard*).He shall issue the TDS certificate to the payee in respect of tax deducted by him (by the due date specified in this regard*).*Refer tax calendar for the due dates."
332,what are the documents that need to accompany the tan application?,"No documents are required to be accompanied with Form 49Bi.e.the application for allotment of TAN. However, where the application is being made online, the acknowledgment which is generated after online filling up the form will be required to be forwarded to NSDL. Detailed guidelines for the submission of application are available at https://www.tin-nsdl.com"
333,how is e-filing different from the regular filing of returns?,E-filing offers convenience of time and place to tax payers. This facility is available round the clock and returns can be filed from any place in the world. It also eliminates/ reduces interface between assessee and tax officials. The procedure of e- filing is explained under Help sectione-Filing.
334,can an application for tan be made on a plain paper?,No. TAN Application can be made only on Form 49B. The application form can be downloaded from the website of the Income Tax Department (www.incometaxindia.gov.in) or NSDL ( https://www.tin-nsdl.com ) or obtained from any other source. The application is also available at TIN Facilitation Centres.
335,what is alternate minimum tax?,For details on alternate minimum tax (AMT) refer to tutorial on Minimum Alternate Tax and Alternate Minimum Tax in the tutorial section.
336,what is the difference between pan and tan?,"PAN stands for Permanent Account Number and TAN stands for Tax Deduction Account Number. TAN is to be obtained by the person responsible to deduct tax, i.e., the deductor. In all the documents relating to TDS and all the correspondence with the Income-tax Department relating to TDS one has to quote his TAN. PAN cannot be used for TAN, hence, the deductor has to obtain TAN, even if he holds PAN.However, in case of TDS on purchase of land and building (as persection 194-IA) as discussed in previous FAQ, the deductor is not required to obtain TAN and can use PAN for remitting the TDS."
337,"i am an authorized signatory (principal contact) and while uploading the income tax return i get an error saying ""pan mentioned on personal information is invalid"". i am entering the pan of my company/firm/aop/boi/artificial juridical person, huf/ co-operative society/ legal authority/trust. why am i still getting the error?","Everyone other than Individual must enter the PAN of the principal contact (authorized signatory) in the Verification section of the Income Tax Return. If the Income Tax Return is being digitally signed, the PAN encrypted in the DSC must match with the PAN mentioned in the verification section."
338,will the declarations made under the scheme be kept confidential?,"The Scheme incorporates the provisions of section 138 of the Income-tax Act relating to disclosure of information in respect of assessees. Therefore, the information in respect of declaration made is confidential as in the case of return of income filed by assessees."
339,who cannot use itr  7?,"Form ITR  7 cannot be used by a person who is not required to furnish return undersection 139(4A)orsection 139(4B) orsection 139(4C)orsection 139(4D)orsection 139(4E) orsection 139(4F) (i.e., trusts, political party, institutions, colleges, investment fund, etc.)."
340,are retirement benefits like pf and gratuity taxable?,"In the hands of a Government employee Gratuity and PF receipts on retirement are exempt from tax. In the hands of non-Government employee, gratuity is exempt subject to the limits prescribed in this regard and PF receipts are exempt from tax, if the same are received from a recognised PF after rendering continuous service of not less than 5 years."
341,what is the meaning of capital asset?,"Capital asset is defined to include:a) Any kind of property held by an assesse, whether or not connected with business or profession of the assesse.b) Any securities held by a FII which has invested in such securities in accordance with the regulations made under the SEBI Act, 1992.However, the following items are excluded from the definition of ""capital asset"":Any stock-in-trade, consumable stores, or raw materials held by a person for the purpose of his business or profession.E.g.,Motor car for a motor car dealer or gold for a jewellery merchant, are their stock-in-trade and, hence, they are not capital assets for them.Personal effects of a person, that is to say, movable property including wearing apparels (*) and furniture held for use, by a person or for use by any member of his family dependent on him.(*) However, jewellery, archeological collections, drawings, paintings, sculptures, or any work of art are not treated as personal effects and, hence, are included in the definition of capital assets.The term jewellery has been given a wider meaning and includes ornaments made up of gold, silver, platinum or any other precious metal or any alloy containing one or more of such precious metals, whether or not containing any precious or semi-precious stones, and whether or not worked or sewn into any wearing apparel. It also includes precious or semi-precious stones, whether or not set in any furniture, utensil, or other article or worked or sewn into any wearing apparel.Agricultural Land in India, not being a land situated:Within jurisdiction of municipality, notified area committee, town area committee, cantonment board and which has a population of not less than 10,000;Within range of following distance measured aerially from the local limits of any municipality or cantonment board:not being more than 2 KMs, if population of such area is more than 10,000 but not exceeding 1 lakh;not being more than 6 KMs , if population of such area is more than 1 lakh but not exceeding 10 lakhs; ornot being more than 8 KMs , if population of such area is more than 10 lakhs.Population is to be considered according to the figures of last preceding census of which relevant figures have been published before the first day of the year.6% Gold Bonds, 1977 or 7% Gold Bonds, 1980 or National Defence Gold Bonds, 1980 issued by the Central Government.Special Bearer Bonds, 1991, issued by the Central GovernmentGold Deposit Bonds issued under Gold Deposit Scheme, 1999.Deposit certificates issued under the Gold Monetisation Scheme, 2015.Following points should be kept in mind :The property being capital asset may or may not be connected with the business or profession of the taxpayer.E.g.Bus used to carry passenger by a person engaged in the business of passenger transport will be his  Capital asset.Any securities held by a Foreign Institutional Investor which has invested in such securities in accordance with the regulations made under the Securities and Exchange Board of India Act, 1992 will always be treated as capital asset, hence, such securities cannot be treated as stock-in-trade."
342,what is assessment under section 143(1)?,"Scope of assessment under section 143(1)Assessment undersection 143(1)is like preliminary checking of the return of income. At this stage no detailed scrutiny of the return of income is carried out. At this stage, the total income or loss is computed after making the following adjustments (if any), namely:-(ii) an incorrect claim, if such incorrect claim is apparent from any information in the return (*);(i) any arithmetical error in the return; or (ii) an incorrect claim, if such incorrect claim is apparent from any information in the return; (iii) disallowance of loss claimed, if return of the previous year for which set off of loss is claimed was furnished beyond the due date specified under sub-section (1) ofsection 139(iv) disallowance of expenditure indicated in the audit report but not taken into account in computing the total income in the return;(v) disallowance of deduction claimed undersections 10AA,80-IA,80-IB,80-IC,80-IDorsection 80-IE, if the return is furnished beyond the due date specified under sub-section (1) ofsection 139; or(vi) addition of income appearing in Form 26AS or Form 16A or Form 16 which has not been included in computing the total income in the return. However, no such adjustments shall be made unless an intimation is given to the assessee of such adjustments either in writing or in electronic mode. Further, the response received from the assessee, if any, shall be considered before making any adjustment, and in a case where no response is received within thirty days of the issue of such intimation, such adjustments shall be made.For the above purpose an incorrect claim apparent from any information in the return means a claim on the basis of an entry in the return:-(i) of an item which is inconsistent with another entry of the same or some other item in such return;(ii) in respect of which the information is required to be furnished under the Act to substantiate such entry and has not been so furnished; or(iii) in respect of a deduction, where such deduction exceeds specified statutory limit which may have been expressed as monetary amount or percentage or ratio or fraction;"
343,my e-filed income tax return has been processed by cpc raising a demand or with less refund. whom do i need to approach for rectification?,"In case your Income Tax Return for the relevant Assessment Year is processed and is with CPC, online Rectification request may be made on website. However, in case, the rectification rights are transferred to AST then, you need to approach AO with rectification application on paper. For knowing whether the processed Income Tax Return is with CPC or AO, the taxpayer should LOGIN and GO TO 'My Account My Returns/Forms' and check the status."
344,how is advance tax calculated and paid?,"Advance tax is to be calculated on the basis of expected tax liability of the year. Advance tax is to be paid in instalments as given below:a) In case of all the assessees (other than the eligible assessees as referred to in section 44AD) :i) Up to 15 per cent  On or before 15th Juneii) Up to 45 per cent  On or before 15th  Septemberiii) Up to 75 per cent  On or before 15th Decemberiv) Up to 100 per cent On or before 15th Marchb) In case of eligible assessee as referred to in Section 44AD:Up to 100 per cent  On or before 15th MarchNote: Any advance tax paid on or before 31st day of March shall also be treated as paid during the same financial year.[Substituted by the Finance Act, 2016 w.e.f. 1-6-2016]The deposit of advance tax is made through challan ITNS 280 by ticking the relevant column,i.e., advance tax."
345,should married female provide fathers name?,"While providing the full name, applicant should provide fathers name and hence, married female should provide fathers name and not husbands name."
346,what are the benefits of e-filing the return of income?,"E-filing can be done from any place at any time and it saves time and efforts. It is simple, easy and faster. The e-filed returns are generally processed faster as compared to returns filed manually."
347,i have e-filed the original income tax return. can i file the revised return in paper-form?,No
348,what is long-term capital gain and short-term capital gain?,"Gain arising on transfer of long-term capital asset is termed as long-term capital gain and gain arising on transfer of short-term capital asset is termed as short-term capital gain. However, there are a few exceptions to this rule, like gain on depreciable asset is always taxed as short-term capital gain."
349,after making the pan application how can i check the status of my pan application?,"After applying for PAN, one can check the status of his application by using the track status facility available at web sites of Income Tax Department or UTIITSL or NSDL i.e. www.incometaxindia.gov.in or www. utiitsl.com and www.tin-nsdl.com."
350,what to do if the tds credit is not reflected in form 26as?,"Non-reflection of TDS credit in Form 26AS can be due to several reasons like non-filing of TDS statement by the payer, quoting incorrect PAN of the deductee in the TDS statement filed by the payer. Thus, in case of non-reflection of TDS credit in Form 26AS, the payee has to contact the payer for ascertaining the correct reasons for non-reflection of the TDS credit in Form 26AS."
351,error code 27:assessee is claiming income u/s 44ad at 8% of the gross receipts which exceeds the limit as prescribed under section 44ad,Description:For assesses claiming income chargeable under section 44AD the total gross receipts should be less than Rs.60 lakhs. Assessee has to provide correct information about gross receipt and presumptive income U/s 44AD Assessee is required to fill relevant ITR form in the new xml which will be filed in response to this communication.
352,"where a search/ survey operation was conducted and the assessment has been completed but certain income was neither disclosed nor assessed, then whether such unassessed income can be declared under the scheme?","Yes, such undisclosed income can be declared under the Scheme."
353,how many times i can file the revised return?,"Legally, a return can be revised any number of times before the expiry of one year from the end of the Assessment Year OR before the completion of the assessment by the Department; whichever event takes place earlier."
354,"i have not received any communication from itd cpc regarding receipt of itr-v, intimation u/s 143(1) or other communications. what should i do?","Your e-mail ID and Mobile Number in ITD database may not be available. The electronic communications are sent to the e-mail and Mobile Number mentioned in the Income Tax Return. It may be the case that your tax practitioner while registering your PAN might have provided his/her own e-mail ID and Mobile Number. Kindly ensure that the tax practitioner provides your e-mail ID and Mobile Number in the Income Tax Return. If you file through an e-Return Intermediary, ensure they provide your e-mail ID and Mobile Number in the e-Filed Return. If you are filing yourself, verify the e-mail ID and Mobile Number before submitting it as you will receive all communication sent by the ITD on the mentioned e-mail ID and Mobile Number. Further, you can LOGIN and view ITR-V receipt status. Also, you can raise a request for Intimation u/s143 and 154."
355,why is it necessary to have tan?,"As persection 203Aof the Income-tax Act, 1961, every person who deducts or collects tax at source has to apply for the allotment of TAN. Section 203A also makes it mandatory to quote TAN in TDS/TCS return (including any e-TDS/TCS return), any TDS/TCS payment challan, TDS/TCS certificates and other documents as may be prescribed. As persection 272BB, failure to apply for TAN or not quoting the TAN in the specified documents attracts a penalty of Rs. 10,000/-."
356,how can taxpayer find his assessing officer (ao) code?,GO TO'Know your Jurisdictional A.O.'under'Services'menu on the home page of ITD e-filing website. Enter your PAN and know your Jurisdictional AO.
357,what is revenue receipt and capital receipt?,"Receipts can be classified into two kinds: A) Revenue receipt, B) Capital receipt.Revenue receipts are recurring in nature like salary, profit from business, interest income, etc.Capital receipts are generally of isolated nature like receipt on account of sale of residential building, personal jewellery, etc."
358,is it mandatory to file return of income after getting pan?,Return is to be filed only if you are liable to file return of income undersection 139.It is not mandatory to file return of income after getting PAN.
359,what provisions will apply if a person does not opt for the presumptive taxation scheme of section 44ae and declares his income at a lower rate?,"A person can declare his income at lower rate (i.e.,less than Rs. 7,500 per goods vehicle per month).However, if he does so, then he is required to maintain the books of account as per the provisions ofsection 44AAand has to get his accounts audited undersection 44AB."
360,how can i come to know about tan of my deductor?,"Kindly refer to Form 16 or Form 16A issued by the employer for the TAN. You can also see the details of deductor in the 26AS Tax credit statement made available by the NSDL in its website, which can be easily accessed through ITD e-filing website."
361,"what is the meaning of stamp duty value and what is its relevance while computing capital gain in case of transfer of capital asset, being land or building or both?","Stamp duty value means the value adopted or assessed or assessable by any authority of a State Government for the purpose of payment of stamp duty.As persection 50C, while computing capital gain arising on transfer of land or building or both, if the actual sale consideration of such land and/or building is less than the stamp duty value, then the stamp duty value will be taken as full value of consideration,i.e.,as deemed selling price and capital gain will be computed accordingly.IllustrationMr. Raja sold his bungalow for Rs. 80,00,000. The value adopted by the Stamp Valuation Authority of the bungalow for the purpose of payment of stamp duty is Rs. 84,00,000. In this situation, while computing taxable capital gain arising on transfer of bungalow, Rs. 84,00,000 will be taken as full value of consideration (i.e.,sale value of the bungalow). Thus, actual selling price of Rs. 80,00,000 (being less than stamp duty value) will not be taken into account while computing taxable capital gain.IllustrationMr. Karan sold his land for Rs. 25,20,000. The value adopted by the Stamp Valuation Authority of the bungalow for the purpose of payment of stamp duty is Rs. 20,00,000. In this situation, while computing taxable capital gain arising on transfer of land, Rs. 25,20,000 (being actual sale value) will be taken as full value of consideration. Thus, stamp duty value (being less than actual selling price) will not be taken into account while computing taxable capital gain.What is the tax treatment of Advance money forfeited under a un-materialized contract for transfer of capital Asset?Any advance received on transfer of capital asset shall be chargeable to tax under the head 'Income from other sources', if such sum is forfeited and the negotiations do not result in transfer of capital Asset."
